outfit_id,items
0,15843;245;5923
2,2243;5098;4258;6052;435
3,2650;93;8815;3008
4,16689;13828;12083;12846;364
5,1469;11799;12851;356
6,448;14123;6510
7,6952;2027;15647
8,11232;5378;9601;378
9,2247;13743;18229;4428;1217
10,3463;10822;8336;1846
11,19010;18620;683;9795;12977
12,1562;18116;16485
13,2502;891;1967
14,5268;2108;12864
17,2340;14691;14149;9825;378
18,11413;1004;18434;14287
21,18795;15391;18902;2193
22,7650;2005;16350;16938
23,11654;972;11386;15442
26,1587;10992;12281;10700
29,13966;935;16412
30,18931;3629;378;6516
33,5602;65;8863;4986
34,3629;10865;1458;18832
35,1935;15266;9189;19095
39,1587;9648;14499
40,6540;401;15325
45,2330;5684;18809;378;18240
46,11115;1587;6056
48,2408;16587;2143;5728
49,434;3289;16031;3286;18586
50,2593;5250;1451;10791
51,425;3345;10845
52,2457;13098;1039
54,14319;378;12975;12298
55,18602;11899;6510;471;17147
56,1431;4409;7446
57,2913;842;3540;5392
58,4991;94;6751
59,4357;9852;1999
60,12640;7996;12674;8988;79
65,4165;8291;13625;68
66,10823;11626;10635;390
67,5675;13780;322;14872
68,18650;17679;356
72,14153;14301;10924;1923
73,2448;5301;1233
74,2569;836;3368;6435
75,609;9072;15827;6745
76,16546;13104;378;8419
78,5280;5124;5034;1375
80,11163;1963;13428
81,855;13368;6526;16125
83,15065;378;17847
87,2005;12719;10480
88,860;10690;18654
90,1587;378;14576
91,1004;15440;16287
92,9656;378;12376;8905
93,10002;10654;1007
94,15087;14798;2113
95,93;14227;10212;16777
96,1255;10733;9812
98,18787;1236;14867
103,9912;18602;1622;4677
105,17782;5977;10427;18459;378
107,1035;6797;9418;4415;12042
108,899;8188;14168;3305;4478
109,10888;1326;9294
110,9656;4501;378;11832
111,1568;6960;12504;3815;16531
113,14813;14560;548;7486
114,3084;356;12420;4020;1147
116,1;16733;18410
117,8238;4439;6591;988
119,7576;12751;5537;1828
120,980;9929;14414;8226
122,2005;6126;9100;9045
125,1794;17140;14534;5366;18263
126,5784;16550;18459;378
132,6544;13135;1708;3026;3769
134,10489;7146;378;12381;15217
137,18798;1196;10845
139,16951;378;13746;15349
140,3481;116;9696;16160
141,7927;11511;1375
142,11835;393;3767;16306
143,18602;17712;7321;1650;3007
144,10131;4969;2831;1546
149,3629;8653;378;12233
150,3089;9664;1147;11478
151,899;9721;5122
152,2779;14977;230;378
153,6294;1675;15730
154,10233;356;11878;4795;4525
155,16281;4054;14839;5115;378
156,3182;1471;10158;12589;7927
159,1417;16144;13925
160,10437;14378;8149;1380;15726
161,1587;13790;12811;16624;13236
162,2151;17084;18249;5315
164,2731;7321;965;14098
165,436;5625;13660
166,14350;16507;979
167,6322;848;17035
168,18926;1440;11391
169,15161;10003;10937;959;6376
170,380;13463;17463
172,15622;9231;934;13834
175,50;10412;9463;8161
176,16102;8717;543
177,2612;16389;378;3965
178,2005;9543;17472
179,3436;3075;413;15686
180,6276;18067;11881;9478;378
182,3065;813;12440;11416;16837
183,2298;17647;7847;628;3092
185,1587;7742;13462;14720
186,10129;356;18041;14720
188,9707;356;17441
189,13941;1506;12765
190,972;13951;16094;3004
193,11336;9657;378
194,11685;10489;13373;378
195,790;6671;3763;16637;17577
197,10489;9213;10860;482
199,9195;3812;10414;1530
200,8235;2063;6365;16787
203,1992;14261;6948
204,790;17327;11596;9324
205,18025;16612;9670;230;14762
207,15351;11622;2005;12284
209,12383;5688;9062;1081
214,3126;1620;13297
215,11692;10253;378;13052
216,15975;3629;7528;378;9771
217,11881;378;3059;15217
219,2684;1078;14463
220,16951;4677;1431;7479;7198
221,8745;4360;378;14847
222,15074;14218;15651;1474
223,1341;17062;5182;11550;16938
226,17777;628;12908
229,9376;1931;17887;11000;12929
230,4584;12087;130
231,1355;5445;6636;7375
233,11951;17624;14888;378;4956
234,16999;17771;2001
235,11066;2005;12350;5541
236,6476;14063;861;12018
237,18650;691;15430;9993
238,1992;13307;19160
241,3487;13214;378;14978;13400
244,6547;14595;8548;1700
246,2659;1118;7410;3285;8735
247,18602;3577;378;17803;10970
249,10549;5166;15939;254;556
252,9127;14435;11805;1458
254,683;6906;5481;4123
255,2365;2419;1004;13958
256,7352;5978;378;12296
260,2123;10602;11323
261,17299;12221;18932;378
263,7352;10475;378;15149;15493
265,13035;1587;6120
266,5890;944;4100;6396
268,2365;17402;1391;5927
270,4036;11174;820;3836
272,1992;13486;15870;378
273,4144;625;13267
276,18529;5285;700;10594
278,4454;11787;17882;378
279,503;11685;10946
280,9802;50;4769
282,2128;13211;11481;3594
283,1393;9321;11984
287,17552;14199;10419;11886;1685
288,18929;378;17790;5046;13041
291,1438;4556;7622;8513;13313
292,1747;9454;18080;16009
293,9871;1892;12805;4708
294,15062;1417;17211;10594
295,8671;9707;365
296,14931;14802;4097;364;7451
297,1469;6071;4087;3334;9644
298,11141;555;18248;10393
299,10648;13137;17286;378;11702
300,2005;18932;6328;11807
302,110;3380;12549
304,378;18240;8957;10830
306,4473;8041;17909;15600;661
307,8105;226;4382
309,13449;1576;4441
312,7676;15143;15809;1984;4263
313,899;10544;3057
315,2005;15625;3452;15834
316,10823;404;18475;3567
319,18602;10961;5890;1935;19093
321,14913;527;8525
324,1464;10041;4058;18092
326,16539;3487;15898;378;14985
327,10073;5793;1159
329,13100;13951;13233;628;3546
330,17996;923;683;14901
331,18728;3179;916;7194
333,16536;15155;378;10571
334,1796;7300;11578;11852
336,259;12736;16875;6390
339,11381;672;4286;12753
340,1587;6049;12148;12966;3759
341,10469;14533;1431;18050
342,7822;4881;4847;10845;1923
343,10779;7532;3305;378
344,9447;324;6487
346,2314;16038;3502;7900;378
348,6795;985;9279
351,16678;16533;15418;378
352,2268;9989;682
353,8545;6411;3105;1418
355,13449;2108;8740
356,1587;10948;4772
358,2550;5841;7910;2108
359,2978;11298;12662;5161;400
361,13628;10015;16642;685
363,13278;1846;19065;18258
364,2981;9021;9681;1365
365,18763;485;17487
366,2370;13369;1587;17543;18287
367,18035;50;16750;11174
369,15033;15908;8388;848
370,11894;917;17762
371,1818;8823;15336
372,6404;5439;391;12562;4025
373,2868;482;13319
375,19106;378;1490;11014;17502
377,1946;13132;4588;5281
378,1587;8574;6823;8549;5744
379,2416;6462;1431;18335
380,1992;18427;14077;12802
381,412;16725;10928;9120;10647
382,2128;8036;17727;14121
383,7392;197;16125;7785
384,12221;4630;378;16538
386,4574;8056;1491
387,2289;3487;378;6786
388,9280;15572;480;3971
389,10300;17871;378;7660
390,9913;17946;1630;8236
391,18968;12734;8563;283
392,2612;10894;1736
393,16539;3487;17501;378;14985
395,5926;1224;12456
396,2243;11042;3342;378
397,913;16309;13791
398,356;16607;378;15268
401,1311;5022;9699;12547
403,1716;3377;17025
404,4201;1637;15288;7483
405,6404;12851;5319;372
406,11957;13664;437
407,93;6388;16724
409,6782;13362;1907;13426
412,4473;8765;17110;15600;1363
414,3449;1391;9397;10769
415,5537;378;4193;7112
416,18602;406;8539;14447
417,10030;3929;16573;378;6090
418,7587;19094;18774;378
419,1955;5321;14896
420,19086;1917;13907
421,15734;3506;378;4912
422,2078;4703;1525;19117;11051
424,15669;683;6906;7809
426,6181;625;6252
428,2565;10793;2010;8290
430,4371;16282;50;378;14352
431,6051;2005;5623;16454
432,2251;329;17840;12245
434,2251;378;14564;7439;9390
435,4399;18664;9102;683
436,8842;8931;848;7803
437,1004;8666;14398
438,19116;1271;7944
439,2629;185;13612
440,6629;1596;18748
441,11263;8768;16174;310;10545
442,304;7430;14263
445,400;11462;14498
446,3486;500;3744
448,3074;10859;475;17640;14142
449,17968;4026;16564;1546;12571
450,18412;1224;17462;6545;8577
451,8358;13582;13441;441
453,13669;1629;3503
456,2503;15873;995;9490;5373
457,1642;14771;10017
459,5900;14001;1490;6341;13235
460,1417;5937;5788
462,11515;647;17800
463,1587;5903;14720
464,10651;2060;17446;15581
465,4210;15382;14643;1039
467,338;3479;13483
468,1539;13521;18504;6148;15496
469,8288;7768;6943;378;11447
470,18602;9755;7093;378
471,18620;11881;378;3963
472,10592;1286;12881;8468
474,9200;17476;166;16306
475,1648;2194;3926;12021;18787
476,8888;2069;9271;11962;4872
479,167;5722;8242
480,4663;7384;1877
481,6959;11692;5339;1474
483,5195;742;3448
485,12639;9599;79;11191
486,13166;1587;7352;4969;13236
488,11108;1951;13361;9675
489,4462;15080;2049
490,6599;13564;378;3956;10192
491,3861;14148;905
492,8358;14089;378;15660
493,179;6227;14402;11834
496,14528;14973;1630
500,6522;1587;13790;3970;13236
501,2136;18842;5429;14221
503,18602;17335;16051;5902;2075
504,1012;13739;16787
507,2082;7763;16626;15146;3208
511,1004;5897;18711;11962
512,16877;5927;6784;378
515,1471;5775;18251;18715;15703
516,2005;11583;12133;17665;17699
518,129;8384;10514
519,11232;1952;10627;13707;7729
520,1935;4560;5050;18473
522,9290;2102;14644
523,11629;17105;16464;378
525,10963;14924;16777;1062
528,17259;907;18378
530,6388;7872;11569;1885
532,11516;2922;8544;552;10845
533,17480;8465;356;16145
534,2005;16835;2858
536,11962;6453;4268;1744;3148
538,9223;14857;13534;7719;1160
539,2084;16138;18004;18709;8905
540,10567;9733;16622;378
543,5823;11199;356;16714
545,15233;10009;11639;8872;513
547,12238;13686;1569
549,14888;2031;6120;3213;2908
550,14319;4677;11958;15295;956
552,19174;15297;13962;378;16202
555,10357;7977;13320;2064
556,8540;9163;15752;85
557,9585;82;7042
559,17294;17567;463;12436;5982
560,15776;6235;7150;1268
561,1238;18909;14251
562,3487;16684;4259;378;14978
564,93;5499;7812;18101
565,93;12449;8252;9762;16179
566,9982;10961;378;628;5844
567,7799;1088;3935
568,16030;18927;378;6533
570,17307;17777;628;11952
574,292;13607;8485;8553
580,2005;4581;8529;9146
581,12501;16535;1991
582,10295;14880;848
583,2045;7837;11636
585,13790;378;15677;10845;17116
586,6739;6596;1539;12767;9868
589,353;3629;13085;8417;14890
590,3732;14578;58
591,12104;6877;11116;2099
592,471;5618;12909
593,1507;10653;17348;15748
594,1801;6989;18520
595,11900;8531;678;5648
597,9243;12757;6593;628;11615
599,232;15251;13692;11857
601,5273;7648;582;15841;10373
604,116;13286;3046;15408
609,18025;11416;18212;17311;2167
610,16018;116;4685;5941
611,2439;16716;3318;378
612,12283;9180;924;7791
613,18830;1992;8426;14460
615,1587;15723;4184
617,3661;4489;9543;959
618,9991;13209;13686;1456
619,18000;13951;1013
620,14022;7095;17416;378
622,12712;6879;378;16825
624,10730;8177;1316;13991
625,18656;11351;772;10997;15767
626,421;18602;19161;18291
628,1473;11547;12629;9777
631,8986;4236;1960
632,2013;6440;13569
634,3487;6274;7253;4259;378
635,4047;9054;539
636,10723;11455;15176;716;14064
637,93;18871;6279
638,404;14884;16751
639,1587;6056;11557
640,13880;2005;5205;12862
643,11366;4121;9586;1927
644,14272;16344;13796;378
645,6195;628;17409
650,9533;14131;1282;10594
651,16631;378;8772;15588
653,4659;6469;14858;803
654,2005;6575;15126;10063
656,656;3975;11183;7846
659,15759;5950;5252;11730;1923
660,13725;886;14884
661,298;4558;10565;7535;8309
662,1004;12442;8737
665,2542;14483;7629;701
667,3107;8343;16754;13505;543
668,313;6691;19133;13352;7630
673,12199;1665;11987
675,18927;15205;378
676,10961;10583;378;13052;5373
678,2630;6508;9040;820
680,11267;7352;7188;1050
682,1004;5258;9076;15231
683,5537;4189;378;6052;10222
684,12539;6417;18787;213
685,942;6506;7476;16733
686,6281;13934;6510;378
687,1527;3652;3825;9616;18719
688,13884;18818;3392;1823
689,234;4281;4668
690,4630;7332;15798;628;9104
694,13260;9888;11263;10594;94
695,10640;7986;378;17866
696,853;5457;14871;11354
699,2701;1589;10705
700,7352;2046;7544;12082;4827
701,16606;18215;378;9874
702,15411;378;15433;3835
703,15375;1049;4566
704,15813;9285;10258;3529;1521
706,2491;2659;16095;10184;565
707,8002;5040;4551;18226;940
709,16390;788;8615;13258
710,1004;18310;4415
711,17359;2763;11771;1927
713,1769;12526;9451
714,972;18923;3602;5596
716,2045;9648;7178;18004;8268
717,7144;16444;230;12660;13838
719,585;18599;16139
721,8143;16929;10786;628
723,2432;5624;556
724,116;4302;14121;10112
726,14766;18602;16546;378
728,13215;15295;925
729,17705;511;7030;18447
731,1208;2872;4951
733,5403;14757;6648;1454;3867
734,1459;6508;16524
738,7574;50;5762;9552;8417
741,17528;6864;1370
743,2563;3411;1484;18335
744,1128;6232;664;2756
745,1004;4579;4769;4029
747,12931;5579;625;7306
748,18081;12825;1652
751,1796;3626;17504
758,16951;12021;3784;364
759,1587;18224;4184
760,13643;14939;14411;1375
761,14813;14684;9080;547
762,14436;9805;378;18004;5638
763,463;12101;10246;3283;19022
764,18758;489;14267;5340
765,11256;2978;8221;378;9647
766,18624;9543;11674;231
767,13662;1568;16924;10001;4872
768,18233;945;18710
770,7658;1873;10248
774,11092;5860;716;3439;11858
776,2688;16581;3868;1181
779,12146;1527;11251
782,7768;15065;378
786,9736;990;16115
789,5945;9969;17883;628
792,2887;917;6572
794,7519;7491;2016;17272;14603
797,1527;11243;9443;4429;7834
799,10489;13582;4181;1984
800,10809;4288;178;7494
801,2340;1926;4950;16951;12321
802,13653;15297;378;17780
803,13276;4593;16073;1846;4157
805,8826;15500;162
807,2554;2431;10137;12624;378
808,16556;11728;861;8707
809,13488;5798;1602
811,5966;6185;13432;10406;378
812,11341;2126;10104
814,1587;18223;13660
816,16391;12878;1391
818,16114;13211;18010;13214;2018
820,13262;5743;18594;1312
822,6042;16792;2005
823,2654;17756;857;2885
824,16717;116;16588;12732
825,7876;1861;7509
826,7884;3192;1350;16130
827,11704;1894;12967
828,6510;1494;10845
831,14080;1561;7556;6294;7467
833,6404;13854;10634;13889;231
835,6404;1650;18597;2780
838,18097;552;4036;10845
839,17319;754;7506;4222
840,18602;8884;378
841,14939;404;8867;4924;8649
843,1587;6056;11695
844,1344;18521;13108
846,5018;17358;14062;1370
847,2045;12022;7682;16825
848,3721;18312;406
849,18602;1587;4677;8760
850,11735;14462;551;10078
851,13947;16107;17084;378;16644
853,2862;12966;11822;432
854,17839;1404;16641;14827;11070
855,14549;984;17634;13957
856,12682;50;4216;15827
857,7123;6404;14121;372
860,6654;7199;50;10924
863,9115;6793;1550;1530
864,4722;17027;15319;85
865,18787;9072;11816;890
866,17688;378;5958;8241
868,4489;15499;3459;959
869,3920;16061;7484;0
870,9115;9134;10735;1512;12710
873,13849;5215;1927
875,12111;8381;588;3335
876,7530;50;13085;5033
877,2495;541;15888
879,5628;4677;13648;11655;974
881,12851;10017;378;9112;10447
882,17245;6080;1782;13552
886,1587;12260;6281;15143
889,2537;1543;7547
890,2692;17767;4919;18928;420
891,8119;3710;1363
892,14939;14030;10180;9884;1375
893,1587;7352;9728;7336;11959
896,9327;11669;11839;1147;5613
898,2676;6404;2005;16970;12729
901,5028;3913;16024;378
902,18226;683;13158;12864
904,735;10624;3916
905,6612;899;18057;4141;3057
906,1389;9237;8310;13333;5162
909,7905;5254;490;4772
913,705;3305;2819;11426
916,6681;15580;628;17502
917,2005;16951;19012;17329;16737
918,15965;2029;8451;6216;12252
921,2314;1451;17801;3501
922,2320;11791;813;15511
923,8907;515;16929;14551
924,16977;8174;9840;7051;1147
925,14939;10553;18998;8011;1375
926,1004;18002;3511;5064;14509
927,2005;11166;3603;14683
928,6797;8298;15884;999;7492
930,2380;1527;5064;7870
931,3012;2060;11320;5343
932,16365;5912;2080;4961
933,14761;7569;3629;378;4145
934,16944;12708;766;17276
935,3966;405;18010;17777;6486
938,4987;1999;18386;5704
942,15717;15590;378;9634
945,19101;18602;378;16787
946,10823;899;6933;6898;5102
951,7176;7398;9051;1984;4694
952,93;3445;8065;18459;5354
953,18602;19146;612;4957
956,1644;12372;16564;11562
957,9047;1935;4774;6595;12025
958,2495;13122;8584;17290;1467
959,2005;7457;4881;13508;16760
961,7394;16893;2853;952
963,13790;17945;3629;378;11549
964,2609;2166;12151;12163
965,3345;4772;6131;4884;85
966,17189;19058;4759;683;3459
967,50;18358;7096;11807
968,2642;813;11216
969,15552;2005;11790;14413
972,12940;1391;9361
974,1509;3968;10367
975,6050;967;8219;6053
976,2108;4838;7844;13450
977,232;4057;17429;13255;16226
979,15215;16359;378;17972
980,18411;4505;1982;6598;378
981,93;9182;7601
982,10368;726;8026;8165;7437
983,18333;365;14078;14117;13001
985,17488;500;9647
989,4761;3871;17264;1714
991,4564;8502;14439;628
993,980;18772;6516
997,8880;392;11234
998,17245;597;6535;5649
999,18602;1417;4722
1000,13761;3629;683;17545
1001,1035;2699;10282;17639
1002,11484;17986;50;16910;11627
1004,6871;18158;15026;15770;1013
1009,16403;5556;1419;15379
1010,7668;15549;13720;378;9015
1011,14098;378;6270
1012,18601;17021;1734;12593
1015,16688;1630;11129
1016,7092;5572;1060
1017,2644;6373;2;15388
1018,1587;3629;2947;9646
1020,3682;3456;13962;378;7966
1022,12158;6605;378;7492
1023,2724;15548;1846;9249;13280
1024,5351;18602;1587
1026,14939;15224;9648;445;3495
1028,2404;5865;1760;15195
1029,404;13114;4866;17804
1030,6640;14912;2080;4843
1031,1992;12221;16834
1032,2705;899;3361;13182;16824
1034,292;12191;17656;11019
1035,15370;500;18929;15878;14156
1037,1004;17134;12914
1040,18602;14989;11692;378
1041,8492;18526;18927;378
1045,18044;13930;404;13506
1046,8661;13308;407
1049,343;5291;10175;7060
1051,2223;436;12801;10939
1052,3109;8928;663;2899
1054,9343;2128;15028;4043
1055,2554;4779;10137;378;15028
1057,1587;13443;17921;6563;6052
1058,2915;16129;3534;890
1059,4500;3502;11485;1039
1060,6404;5784;459
1061,1815;8348;15384;7486
1062,1587;4772;13314
1063,16685;14664;1869;16605;10933
1065,10487;18962;18582;378;17206
1066,93;17957;3697;7426
1067,6654;3629;7460;378;10859
1068,11280;4790;378;7499
1070,15759;3768;1145
1073,404;11511;14884;16751
1074,15939;12835;52;13570;6380
1075,8321;7046;14802;2113;11514
1080,7856;3687;262;11245;5203
1081,1992;3629;17473;7250;18220
1082,11801;694;7139;9758
1083,6050;1495;18620;11315;13579
1086,16073;817;14331;14032;3753
1088,436;2735;12260;3141;11425
1089,15048;793;7510
1090,365;15939;7815
1092,4881;260;9549
1093,2251;7536;378;15365;17766
1094,13775;4841;304
1099,17432;13537;17138;378;12971
1100,17873;18175;2148
1102,14790;7107;17856;3967;378
1103,1453;13223;13161
1104,15803;378;14162;14224
1106,5188;378;8841;3078
1107,15590;116;5941;8137;10215
1109,3629;18941;378;17116
1110,15764;2005;10397;11790;16760
1111,1587;6056;6662
1113,14367;1475;12365
1114,50;7243;4474;10770;4331
1115,6794;4627;683;9647
1116,8646;13331;363;15011
1117,4895;18756;1967
1118,10146;667;11705;7594
1119,2068;12094;12975
1120,2487;3436;1992
1122,13613;18657;2207;848
1125,2005;13215;4373
1126,7340;3029;16883;1380
1128,2577;13378;14994;15309;820
1131,1397;16441;9843;16311
1132,8715;5553;628;17701
1133,11524;9823;1621;14856
1134,4389;15121;7727;1375
1135,12801;15796;951;9636
1137,7768;10676;226;9838
1138,955;8438;7104;16531
1139,11595;3228;736;3774
1140,2152;12225;18221;8193;5417
1141,2493;17521;12917;848
1144,14882;2161;17021;4308;11611
1146,19131;10524;5747;3016;178
1148,6071;3288;7146;378;13431
1150,15375;5309;7979;1936;10121
1151,13443;2039;10350;16834
1154,6932;365;10259;5279
1156,4394;3574;568
1158,19021;6713;2159;13112;17268
1159,1151;16961;3464;8269
1161,2005;16951;1985;15280;8581
1162,5534;16946;917;5166
1163,436;10962;12568;13214
1164,8889;5611;4772;445;3495
1165,2005;16760;378;6868
1169,11794;14895;378;12359;9321
1171,2255;13698;5855;162
1172,16548;378;9647;17481
1174,9875;365;4736;16605
1176,12393;14802;2113
1177,15793;9922;378;6868
1178,1992;14657;14983;8493
1181,870;4356;17895;5392
1182,2563;987;13429
1183,3187;6802;8606;2090
1184,434;8908;8537
1185,5483;981;3891
1186,1060;16099;11769;12987
1187,378;10987;10845;3123
1189,8267;18787;10455;378;3458
1192,3436;9984;6021;1914;14603
1194,2345;1454;5571;17951;10816
1195,11383;1417;11396
1196,3402;11416;16822;921
1198,2379;10076;14140;364;13196
1199,14211;9039;11318;378
1200,11620;406;17804;10894
1201,13145;5169;15946;378;14833
1202,1587;6515;3493
1204,14016;17482;1217;6120;6616
1205,2128;15143;15021;5042;5060
1211,11265;17400;1375
1216,378;3059;16106;15957;5097
1217,10883;17632;14551;2044
1218,13145;3534;3960;4421;378
1219,8887;973;16787
1220,11421;4077;649
1222,12927;1417;7712
1223,1004;17004;18687;19096;7586
1228,2005;17406;13649;8568
1230,2078;14844;4872;17116
1232,6220;4094;7110;378
1236,2103;14398;1941;16204
1237,8363;18551;3008;1039
1238,365;116;10085;2851
1239,14874;3700;618
1240,18399;304;17667;11579
1241,1270;12471;3688;6611;9169
1242,14939;7808;404;4897
1243,380;17377;6714
1248,13152;7878;14457;693
1253,3730;7342;378
1256,183;14322;16523;5590
1258,5942;10413;9954;543
1259,7587;500;14640
1262,2732;18083;15744;701
1265,10489;378;5618;13975
1266,13711;1885;7727
1267,14013;4243;7044;820;2856
1271,2437;14939;10162;9313;1375
1273,2587;1955;13800;378
1274,16095;9038;378;7663
1275,378;3773;15626
1276,8;13915;2768;11871;18550
1277,1677;5209;8001;9570
1279,1004;18439;15664
1280,1195;8784;15476;6766
1281,259;11751;12865
1282,16539;394;6205
1283,4423;8060;378;6868
1284,11484;50;13585
1287,6494;1827;16330;3513
1288,18098;8954;312
1292,436;5959;14631
1294,5670;16781;828
1295,17533;15851;1299
1296,2625;8899;2108
1298,2659;4677;1927;14412
1299,14477;13627;1846
1301,3025;3575;1433
1302,16032;4677;14847;235
1304,252;15530;17018
1308,1992;3136;12394;9762
1309,1054;10429;2938;5299
1310,19032;13263;465;14998
1311,14711;3629;7976;378
1312,2655;14405;14199;2005;11583
1314,1004;10923;10320;3422;8649
1315,6051;1992;18563
1316,7822;6960;14725;513
1318,54;18602;4677;3624
1319,3656;17924;15434;1839
1320,1157;11266;4359
1324,12818;1417;11839;378
1326,356;10258;16051;5967
1327,8358;405;7676;9648
1328,18189;10414;1530;5416;3745
1329,1885;17026;17751;3697
1330,10627;18212;907
1331,157;13409;3245;17822
1333,436;8739;16760;13728
1335,12681;1195;13699;4172
1337,1509;10472;15377;17939
1339,18545;9541;230;9774
1340,2919;2005;14444;4894
1341,2766;7996;656
1342,4890;16171;952
