item_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
0.0,-0.09467811,0.5721047,0.3571149,0.105718665,0.49669573,-0.4236126,0.034915783,-0.15181428,-0.540422,-0.05727151,0.12918301,-0.3596612,0.16112015,-0.27954,0.15422513,-0.13491872,0.14633706,-0.23401418,-0.33773398,0.20285474,-0.2021911,0.11676176,-0.14214085,0.3035219,-0.33335012,0.05704469,0.32941598,-0.007041065,0.10712968,0.24989994,0.65625566,0.035963744,-0.0738265,0.33890036,0.14492078,0.52218944,0.13304049,0.2647956,0.58356327,-0.31198,0.30968225,-0.28493255,-0.2993704,0.21312961,-0.39856058,-0.06036165,0.22788565,-0.09716467,0.013850518,0.24735934,0.0030022366,-0.03419226,-0.4993981,-0.57985365,0.20269822,0.15731668,-0.685521,0.3492029,0.20412198,-0.05410946,-0.7458188,-0.1854905,-0.33987886,-0.10049734
1.0,-0.14601564,0.3537326,0.40502632,-0.08174764,0.3850045,-0.5602678,0.21976449,-0.27087736,-0.13072066,-0.097047284,-0.22564381,0.093444824,0.29819912,-0.43058968,0.369355,0.13714194,0.37535387,0.12768878,-0.5084366,0.29088068,-0.32841286,-0.07418529,-0.33409557,0.08919297,-0.49281043,0.047621336,0.1445846,-0.29252294,0.47469068,0.1225296,0.11985351,0.009689993,-0.34473336,0.041694365,0.11052891,0.28311872,-0.37305817,-0.108912006,0.47792283,-0.1039867,-0.1445282,-0.18080615,-0.3953861,0.3577536,-0.15129739,0.027870942,0.30608118,-0.09146903,-0.21674642,0.23590696,-0.01895874,-0.23768955,-0.13934493,-0.1683758,0.28178594,0.013786836,-0.102825366,0.48817757,0.22704382,-0.028435938,-0.5841238,0.19931394,0.21215308,0.08439138
2.0,-0.5320243,-0.009149293,0.38355166,-0.3556408,0.32406965,-0.5472201,0.3371055,-0.13102768,-0.17417467,0.11098571,-0.24850361,-0.36374724,0.48414716,-0.41846588,0.20106365,3.8986327e-05,0.4084378,0.1559187,-0.046122476,0.24994,-0.30457288,-0.3706479,-0.45702097,0.13097528,0.029636353,-0.0874698,-0.39438868,-0.56349266,0.915146,0.31293997,-0.046140846,-0.18658255,-0.1252888,0.39252955,0.24495009,0.15534425,0.17870356,-0.17124987,0.59033936,0.15637419,-0.20280373,-0.09202337,-0.5332012,-0.16755506,-0.30029136,0.17370284,0.19196242,-0.25535208,0.04646968,-0.08528107,-0.073399864,-0.24550691,-0.1920824,-0.55811745,-0.13549735,0.14947808,-0.08019757,0.27203456,0.018359724,0.21309355,-0.5923876,0.022683373,-0.22566226,0.08717936
3.0,-0.10497521,0.5760835,0.2820054,-0.14697427,0.30249685,-0.6663916,0.26857233,-0.48507112,-0.5573713,0.37568876,-0.23675735,0.10806772,0.4339033,-0.62010396,0.07081339,-0.10724192,0.14904569,0.059846207,-0.3099548,0.3967856,-0.25122643,-0.24594404,-0.3450862,0.09220865,-0.46583742,-0.017912295,0.27102455,-0.1495325,0.37159508,0.03011828,0.11368215,0.27931914,-0.27980834,0.118530475,0.3592295,0.2716064,-0.31459886,-0.1320034,0.11896476,-0.05612494,-0.2603023,-0.10118773,-0.4513238,0.226674,-0.3507503,0.14385672,0.3347558,-0.092769,-0.57010144,0.10416018,0.2858879,-0.38834608,-0.094113484,-0.6214309,0.031095276,0.24767701,-0.3579862,0.38182166,0.28498688,0.008537136,-0.22902331,0.1801538,-0.13108167,0.20963335
4.0,0.013234986,-0.0024002518,0.27716053,0.15202272,0.19530383,-0.48609483,0.08869914,-0.36924115,-0.18827409,0.15076861,-0.22974356,-0.0552443,0.2709147,-0.69054353,0.16260448,0.032111768,-0.051750667,-0.29844034,-0.42078713,0.33272567,-0.31942043,0.10681595,-0.053193614,0.17708907,-0.34767473,-0.17312773,0.20307612,-0.4446339,0.15650934,0.037275814,0.26434535,-0.06923797,-0.63613904,-0.020832233,-0.07671068,0.55653507,-0.23911577,-0.14128815,0.4639537,-0.39623308,0.32875568,0.11649066,-0.40121594,-0.06753486,0.07866939,0.042113733,0.5717456,-0.12174789,-0.06792374,0.24714336,0.09558829,-0.03284691,-0.24397649,-0.042118106,-0.32187063,-0.0024078656,-0.43092287,0.4312239,0.1920329,0.14502043,-0.27085888,-0.30257794,-0.30988917,0.04440188
5.0,-0.24469562,-0.027041374,0.21360236,-0.02755031,0.19772029,-0.40685877,0.48522937,-0.33422276,-0.29206467,0.057041712,-0.35145342,-0.12771128,0.21389788,-0.5950084,0.2881128,-0.104310945,0.3990504,0.120504856,-0.47906402,-0.014471962,-0.26433632,-0.15474941,-0.17419945,0.20182389,-0.38088876,-0.20450005,-0.12462137,-0.36466196,0.34816778,0.3021172,0.55447537,-0.32671255,-0.16697437,-0.09621589,0.049443938,0.47790536,-0.45571163,-0.29854536,0.38172626,-0.38812444,-0.014485737,-0.0961184,-0.74420446,0.112169065,-0.27093545,0.37762946,0.36291972,-0.07730398,-0.12677148,0.27822852,0.10384929,-0.13763808,-0.23656483,-0.18122356,0.30935413,0.058685303,-0.31107253,0.5256313,0.08610748,-0.41360053,-0.4539317,-0.3597964,-0.05275233,0.12784341
7.0,-0.16157079,0.007893731,0.079063445,-0.33976114,0.56042993,-0.7901802,0.23697773,-0.3097326,-0.2160842,-0.09072411,-0.22257647,-0.06180579,-0.093720995,-0.5244118,0.29120627,0.031978343,0.10940254,-0.18150924,-0.4213027,0.25685704,-0.3305808,-0.05692115,-0.41277948,0.10572648,-0.41672432,0.08532987,0.18723524,-0.28157827,0.6309901,0.26733947,-0.109728515,-0.057095055,0.040950246,-0.06396736,-0.032013483,0.18752451,-0.08733586,-0.019411294,0.54981536,-0.23709817,0.22379318,-0.05581008,-0.6746465,0.14429355,-0.025903758,0.05463716,0.34293708,-0.27810675,-0.25205523,0.33290905,0.13239658,-0.17064638,-0.16654225,-0.21925615,0.11349104,0.0137072485,-0.4256435,0.27783287,0.53046066,-0.061471738,-0.20738825,-0.3474054,-0.21963137,-0.09752681
8.0,-0.24271427,0.073927455,0.08907832,-0.038016938,0.14509203,-0.5554468,0.12071783,-0.4955494,-0.29824942,-0.045047536,-0.21891288,0.07488668,0.103127874,-0.5472082,0.42195213,-0.079047956,0.09531273,-0.010301886,-0.14681785,0.2743273,-0.42298797,-0.4242077,-0.04211682,0.22535162,-0.15095769,-0.16493505,0.32387775,-0.44649777,0.2950224,0.22360559,0.3124522,0.023281328,0.027424535,0.13842171,0.21967247,0.41066134,-0.47549886,-0.2567408,0.33343855,-0.2530871,0.07420553,0.05728271,-0.3871015,0.1864392,-0.07472728,0.2089556,0.20684542,0.09194035,-0.23138362,-0.06553254,-0.1306285,-0.27248022,-0.17007618,-0.383561,0.10210822,0.30298528,-0.16712518,0.47376606,0.21085662,-0.017141439,-0.16104081,-0.34509227,-0.26646882,0.083976366
9.0,0.006305082,0.015579474,0.23712622,0.05991771,0.22939727,-0.5228635,0.13244514,-0.28392178,-0.2915833,0.21378969,-0.25097334,-0.12832013,0.19012329,-0.72895706,0.25931463,-0.16381156,-0.003841781,-0.029395057,-0.30992693,0.31693187,-0.46101126,-0.078948535,-0.169463,0.11929096,-0.35807842,0.24617317,0.2389313,-0.17095734,0.22833022,0.13089846,0.026076369,-0.11429242,-0.44983324,0.190914,-0.15353253,0.46259847,-0.14341497,-0.0136897545,0.3781744,-0.31468862,0.12099077,0.030553477,-0.3999026,0.3171762,-0.1492517,0.16312169,0.131809,0.022235388,-0.15429297,0.2979888,-0.021063536,-0.13869528,-0.2539715,-0.22234516,0.55026245,0.19540776,-0.40678176,0.56038165,0.2571112,0.09492662,-0.52485514,-0.21908928,0.027496519,0.12608434
10.0,-0.3263817,0.22626063,0.24210767,-0.5387224,0.46774054,-0.37220347,0.25495636,-0.2742494,-0.23312186,0.34202024,-0.5380363,-0.21599615,0.27316812,-0.700554,0.0031155488,-0.0070737703,0.022232782,-0.09791024,-0.45768443,0.4046394,-0.49158522,-0.15922841,-0.2828257,0.36377293,-0.11033623,0.13473627,0.17739804,-0.3640886,0.46658915,0.20535703,0.10023999,-0.10032566,-0.179648,0.042405836,0.34653926,0.2607003,0.10645685,0.061139643,0.4216985,-0.26000935,0.03654123,-0.10916898,-0.39139766,-0.016282933,0.004100822,-0.07491152,0.3254331,-0.25923258,-0.2841483,0.13997087,-0.053629123,-0.4404324,-0.39488906,-0.30710745,0.21616565,-0.021717967,-0.5242803,0.47510013,0.17182785,-0.19764149,-0.3635324,-0.16055192,-0.041861176,0.09653931
